0,4.12,0.00,4.10,0.00,4.10,0.00,4.09,0.00,4.10,0.00,4.08,0.00,4.08,0.00,4.10,0.00,4.10,0.00,
1,4.12,0.00,4.10,0.00,4.09,0.00,4.09,0.00,4.10,0.00,4.08,0.00,4.08,0.00,4.10,0.00,4.10,0.00,
2,4.12,0.00,4.10,0.00,4.09,0.00,4.09,0.00,4.10,0.00,4.08,0.00,4.07,0.00,4.10,0.00,4.10,0.00,
3,4.12,0.00,4.10,0.00,4.09,0.00,4.08,0.00,4.10,0.00,4.08,0.00,4.07,0.00,4.10,0.00,4.09,0.00,
4,4.12,0.00,4.09,0.00,4.09,0.00,4.08,0.00,4.10,0.00,4.08,0.00,4.08,0.00,4.10,0.00,4.09,0.00,
5,4.12,0.00,4.09,0.00,4.09,0.00,4.08,0.00,4.10,0.00,4.08,0.00,4.07,0.00,4.10,0.00,4.09,0.00,
6,4.12,0.00,4.09,0.00,4.09,0.00,4.08,0.00,4.10,0.00,4.08,0.00,4.07,0.00,4.10,0.00,4.09,0.00,
7,4.12,0.00,4.09,0.00,4.09,0.00,4.08,0.00,4.10,0.00,4.08,0.00,4.07,0.00,4.10,0.00,4.09,0.00,
8,4.12,0.00,4.09,0.00,4.08,0.00,4.08,0.00,4.10,0.00,4.08,0.00,4.07,0.00,4.09,0.00,4.09,0.00,
9,4.11,0.00,4.09,0.00,4.08,0.00,4.08,0.00,4.09,0.00,4.08,0.00,4.07,0.00,4.09,0.00,4.09,0.00,
10,4.11,0.00,4.09,0.00,4.08,0.00,4.08,0.00,4.09,0.00,4.08,0.00,4.06,0.00,4.09,0.00,4.08,0.00,
11,4.11,0.00,4.09,0.00,4.08,0.00,4.08,0.00,4.09,0.00,4.08,0.00,4.06,0.00,4.09,0.00,4.08,0.00,
12,4.11,0.00,4.08,0.00,4.08,0.00,4.08,0.00,4.09,0.00,4.08,0.00,4.06,0.00,4.09,0.00,4.08,0.00,
13,4.11,0.00,4.08,0.00,4.08,0.00,4.08,0.00,4.09,0.00,4.08,0.00,4.06,0.00,4.09,0.00,4.08,0.00,
14,4.11,0.00,4.08,0.00,4.08,0.00,4.08,0.00,4.09,0.00,4.07,0.00,4.06,0.00,4.09,0.00,4.08,0.00,
15,4.11,0.00,4.08,0.00,4.08,0.00,4.07,0.00,4.09,0.00,4.07,0.00,4.06,0.00,4.08,0.00,4.08,0.00,
16,4.10,0.00,4.08,0.00,4.08,0.00,4.07,0.00,4.08,0.00,4.07,0.00,4.06,0.00,4.08,0.00,4.08,0.00,
17,4.10,0.00,4.08,0.00,4.08,0.00,4.07,0.00,4.08,0.00,4.07,0.00,4.06,0.00,4.08,0.00,4.08,0.00,
18,4.10,0.00,4.08,0.00,4.08,0.00,4.07,0.00,4.08,0.00,4.07,0.00,4.06,0.00,4.08,0.00,4.08,0.00,
