2018/09/17/00:56:40 | F0 T 22.75 24.13
2018/09/17/00:56:40 | F0 D D5 9.35 0.11 24.3
2018/09/17/00:56:40 | FG T 22.38 23.19
2018/09/17/00:56:40 | FG D
2018/09/17/00:56:41 | F5 V 4.08 0.00
2018/09/17/00:56:41 | F5 W 2256.39 1537.60 28946.83 2077.92 4726.49 29045.80
2018/09/17/00:56:41 | F5 T 23.50 23.63
2018/09/17/00:56:41 | F5 D
2018/09/17/00:56:44 | F4 V 4.08 0.00
2018/09/17/00:56:44 | F4 W 1524.62 1455.78 528421.56 3054.04 9073.97 6229.52
2018/09/17/00:56:44 | F4 T 23.19 23.56
2018/09/17/00:56:44 | F4 D
2018/09/17/01:06:37 | FB V 4.09 0.00
2018/09/17/01:06:38 | FB W 2130.44 33164.55 33104.10 1375.11 22068.97 26623.01
2018/09/17/01:06:38 | FB T 21.50 19.88
2018/09/17/01:06:38 | FB D
2018/09/17/01:06:39 | F1 V 4.09 0.00
2018/09/17/01:06:39 | F1 W 5562.89 22339.38 29295.90 1709.28 21348.38 330999.47
2018/09/17/01:06:39 | F1 T 22.44 21.69
2018/09/17/01:06:39 | F1 D
2018/09/17/01:06:39 | FG V 4.10 0.00
2018/09/17/01:06:40 | FG W 4677.21 2030.60 69715.38 1660.35 23762.38 7801.64
2018/09/17/01:06:40 | F0 V 4.10 0.00
2018/09/17/01:06:40 | F0 W 2782.18 5073.68 1950.95 5283.87 5876.88 31084.34
2018/09/17/01:06:40 | F0 T 22.69 24.13
2018/09/17/01:06:40 | F0 D D5 9.36 0.11 24.2
2018/09/17/01:06:40 | FG T 22.38 23.19
2018/09/17/01:06:40 | FG D
2018/09/17/01:06:41 | F5 V 4.08 0.00
2018/09/17/01:06:41 | F5 W 2246.61 1490.08 28946.83 2073.17 4726.49 28996.32
2018/09/17/01:06:41 | F5 T 23.44 23.63
2018/09/17/01:06:41 | F5 D
2018/09/17/01:06:41 | F3 V 4.09 0.00
2018/09/17/01:06:41 | F3 W 1258.28 5437.63 13356.16 11952.79 19709.64 29498.07
2018/09/17/01:06:41 | F3 T 23.25 22.69
2018/09/17/01:06:41 | F3 D
2018/09/17/01:06:44 | F4 V 4.08 0.00
2018/09/17/01:06:44 | F4 W 1528.95 1455.78 528421.56 3042.93 9109.60 6246.70
2018/09/17/01:06:44 | F4 T 23.19 23.56
2018/09/17/01:06:44 | F4 D
2018/09/17/01:16:39 | FB V 4.09 0.00
2018/09/17/01:16:39 | F1 V 4.09 0.00
2018/09/17/01:16:39 | F1 W 5555.00 22339.38 29295.90 1713.74 21348.38 330999.47
2018/09/17/01:16:39 | F1 T 22.38 21.63
2018/09/17/01:16:39 | F1 D
2018/09/17/01:16:39 | FG V 4.10 0.00
2018/09/17/01:16:39 | F3 V 4.09 0.00
2018/09/17/01:16:39 | F3 W 1262.40 5414.37 13356.16 11253.48 19680.90 29498.07
2018/09/17/01:16:39 | F3 T 23.19 22.75
2018/09/17/01:16:39 | F3 D
2018/09/17/01:16:40 | FG W 4684.24 2040.03 69715.38 1664.78 22964.63 7822.30
2018/09/17/01:16:40 | F0 V 4.10 0.00
2018/09/17/01:16:40 | F0 W 2792.83 5073.68 1960.27 5291.48 5885.09 31084.34
2018/09/17/01:16:40 | F0 T 22.69 24.06
2018/09/17/01:16:40 | F0 D D5 9.35 0.11 24.3
2018/09/17/01:16:40 | FG T 22.31 23.13
2018/09/17/01:16:40 | FG D
2018/09/17/01:16:41 | F5 V 4.08 0.00
2018/09/17/01:16:41 | F5 W 2202.79 1537.60 28996.32 2077.92 4740.65 28996.32
2018/09/17/01:16:41 | F5 T 23.44 23.56
2018/09/17/01:16:41 | F5 D
2018/09/17/01:16:43 | F4 V 4.08 0.00
2018/09/17/01:16:43 | F4 W 1528.93 1455.78 528421.56 3031.86 9097.71 6238.12
2018/09/17/01:16:43 | F4 T 23.13 23.50
2018/09/17/01:16:43 | F4 D
2018/09/17/01:26:37 | FB V 4.08 0.00
2018/09/17/01:26:37 | FB W 2130.44 33164.55 33164.55 1349.87 22068.97 26666.66
2018/09/17/01:26:37 | FB T 21.50 19.81
2018/09/17/01:26:37 | FB D
2018/09/17/01:26:37 | FB W 2106.54 33164.55 33164.55 1375.10 22102.58 26623.01
2018/09/17/01:26:38 | FB T 21.44 20.94
2018/09/17/01:26:38 | FB D
2018/09/17/01:26:39 | F1 V 4.09 0.00
2018/09/17/01:26:39 | F1 W 5547.14 22339.38 28799.12 1713.74 21348.38 330999.47
2018/09/17/01:26:39 | F1 T 22.31 21.56
2018/09/17/01:26:39 | F1 D
2018/09/17/01:26:39 | FG V 4.10 0.00
2018/09/17/01:26:40 | FG W 4670.18 2044.77 69921.91 1664.78 22893.89 7832.67
2018/09/17/01:26:40 | F0 V 4.10 0.00
2018/09/17/01:26:40 | F0 W 2798.17 5081.09 1960.25 5314.39 5901.56 31139.56
2018/09/17/01:26:40 | F0 T 22.63 24.06
2018/09/17/01:26:40 | F0 D D5 9.36 0.11 24.2
2018/09/17/01:26:40 | FG T 22.25 23.13
2018/09/17/01:26:40 | FG D
2018/09/17/01:26:41 | F5 V 4.08 0.00
2018/09/17/01:26:41 | F5 W 2173.74 1537.60 28897.34 2068.43 4754.81 28946.83
2018/09/17/01:26:41 | F5 T 23.44 23.56
2018/09/17/01:26:41 | F5 D
2018/09/17/01:26:41 | F3 V 4.08 0.00
2018/09/17/01:26:41 | F3 W 1266.56 5468.76 13356.16 9448.67 19680.90 29498.07
2018/09/17/01:26:41 | F3 T 23.06 22.75
2018/09/17/01:26:41 | F3 D
2018/09/17/01:26:43 | F4 V 4.08 0.00
2018/09/17/01:26:43 | F4 W 1528.95 1455.78 528421.56 3015.27 9121.50 6246.70
2018/09/17/01:26:43 | F4 T 23.06 23.50
2018/09/17/01:26:43 | F4 D
2018/09/17/01:36:38 | FB V 4.08 0.00
2018/09/17/01:36:39 | F1 V 4.09 0.00
2018/09/17/01:36:39 | F1 W 5547.14 22339.38 28848.23 1718.22 21380.36 330999.47
2018/09/17/01:36:39 | F1 T 22.25 21.56
2018/09/17/01:36:39 | F1 D
2018/09/17/01:36:39 | FB W 2120.86 33164.55 33164.55 1308.07 22102.58 26623.01
2018/09/17/01:36:39 | F3 V 4.08 0.00
2018/09/17/01:36:39 | F3 W 1266.56 5414.37 13267.65 7202.93 19595.04 29346.15
2018/09/17/01:36:39 | F3 T 22.94 22.50
2018/09/17/01:36:39 | F3 D
2018/09/17/01:36:39 | FG V 4.10 0.00
2018/09/17/01:36:39 | FG W 4663.17 2049.48 69715.38 1655.91 23071.20 7843.04
2018/09/17/01:36:40 | FB T 21.38 21.25
2018/09/17/01:36:40 | FB D
2018/09/17/01:36:40 | F0 V 4.10 0.00
2018/09/17/01:36:40 | F0 W 2808.85 5095.95 1960.25 5306.74 5926.32 31084.34
2018/09/17/01:36:40 | F0 T 22.56 24.00
2018/09/17/01:36:40 | F0 D D5 9.35 0.11 24.2
2018/09/17/01:36:40 | FG T 22.25 23.06
2018/09/17/01:36:40 | FG D
2018/09/17/01:36:41 | F5 V 4.08 0.00
2018/09/17/01:36:41 | F5 W 2154.46 1537.60 28946.83 2063.68 4761.93 28996.32
2018/09/17/01:36:41 | F5 T 23.38 23.56
2018/09/17/01:36:41 | F5 D
2018/09/17/01:36:43 | F4 V 4.08 0.00
2018/09/17/01:36:43 | F4 W 1524.62 1455.78 528421.56 3015.28 9145.37 6246.70
2018/09/17/01:36:43 | F4 T 23.00 23.44
2018/09/17/01:36:43 | F4 D
2018/09/17/01:46:37 | FB V 4.08 0.00
2018/09/17/01:46:37 | FB W 2120.86 33164.55 33104.10 1303.88 22136.20 26666.66
2018/09/17/01:46:38 | FB T 21.31 21.06
2018/09/17/01:46:38 | FB D
2018/09/17/01:46:39 | F1 V 4.09 0.00
2018/09/17/01:46:39 | F1 W 5539.25 22373.42 28799.12 1713.74 21380.36 330999.47
2018/09/17/01:46:39 | F1 T 22.19 21.50
2018/09/17/01:46:39 | F1 D
2018/09/17/01:46:39 | FG V 4.10 0.00
2018/09/17/01:46:39 | FG W 4656.18 2058.97 69715.38 1660.34 23986.71 7853.40
