0,7222.26,14070.59,29805.45,29396.79,0,8828.23,14299.29,0,7270.69,11357.00,11735.15,22102.58,24522.02,22476.19,0,18259.67,25154.63,0,28555.39,0,43560.20,32803.35,33905.58,32803.35,15639.21,20598.27,22136.20,3555.66,21770.19,32803.35,17475.43,5500.00,0,6580.23,13735.50,9109.60,12303.80,5223.28,33593.93,2745.02,21968.75,0,14991.89,0,5811.46,9902.77,6517.77,2851.77,38714.28,21031.41,0,18709.12,31926.23,22510.67,
1,7193.31,14089.51,29805.45,29295.90,0,8862.95,14299.29,0,7299.90,11342.16,11750.55,22136.20,24522.02,22476.19,0,18233.72,25154.63,0,28603.77,0,43560.20,32923.25,33905.58,32803.35,15639.21,20628.74,22169.81,3543.69,21737.40,32803.35,17500.13,5507.84,0,6571.28,13753.90,9109.60,12320.02,5223.24,33532.44,2745.02,22002.16,0,15032.76,0,5803.30,9902.77,6508.89,2851.76,38714.28,21062.82,0,18735.95,31926.23,22545.14,
2,7222.26,14089.51,29805.45,29346.15,0,8851.37,14337.86,0,7319.42,11357.00,11735.15,22169.81,24522.02,22510.67,0,18259.67,25154.63,0,28603.77,0,43654.16,32983.19,33905.58,32803.35,15682.05,20598.27,22035.77,3549.68,21737.40,32803.35,17549.42,5515.68,0,6589.20,13772.30,9121.50,12352.54,5238.34,33593.93,2750.32,22002.16,0,15053.09,0,5811.46,9915.66,6526.66,2846.38,40147.05,21094.23,27245.58,18898.30,31755.10,22683.71,
3,7212.57,14108.44,29805.45,29346.15,0,8862.95,14337.86,0,7339.02,11357.00,11750.55,22169.81,24560.81,22476.19,0,18259.67,25154.63,0,28603.77,0,43654.16,32983.19,33905.58,32984.72,15660.57,20567.97,22136.20,3549.67,21737.40,32803.35,17598.96,5523.52,0,6580.26,13790.70,9109.60,12336.25,5230.80,33531.91,2745.02,22068.97,0,15053.09,0,5819.60,9915.66,6517.77,2846.38,40311.75,21094.23,26148.42,18871.17,31755.10,22683.71,
4,7202.93,14127.36,29805.45,29396.79,0,8874.54,14357.14,0,7358.61,11371.89,11765.96,22169.81,24560.81,22476.19,0,18233.72,25154.63,0,28603.77,0,43654.16,32983.19,33905.58,32803.35,15682.05,20628.74,22169.81,3555.66,21737.40,32803.35,17450.85,5461.06,0,6571.28,13772.30,9109.60,12368.83,5245.92,33531.91,2750.32,22035.56,0,15073.63,0,5819.60,9928.59,6526.66,2846.38,40394.10,21094.23,26191.15,18898.30,31755.10,22683.71,
5,7212.57,14146.37,29805.45,29346.15,0,8874.58,14357.14,0,7378.27,11386.78,11750.55,22203.64,24560.81,22510.67,0,18233.72,25154.63,0,28652.51,0,43560.20,32983.19,33905.58,32803.35,15703.52,20628.74,22169.81,3549.68,21770.19,32803.35,17500.00,5468.88,0,6571.28,13753.90,9109.60,12385.12,5238.34,33531.91,2750.32,22035.56,0,15094.16,0,5819.60,9928.59,6535.57,2846.38,40311.75,21094.23,26148.42,18898.30,31755.10,22683.71,
6,7212.57,14146.37,29805.45,29346.15,0,8874.58,14357.14,0,7427.60,11386.78,11735.15,22169.81,24560.81,22510.67,0,18259.67,25154.63,0,28603.77,0,43654.16,33043.64,33905.58,32803.35,15725.10,20628.74,22237.47,3561.65,21770.19,32803.35,17673.62,5523.52,0,6571.28,13809.18,9121.50,12401.48,5245.92,33593.93,2750.32,22035.56,0,15094.16,0,5819.60,9928.59,6526.66,2841.02,40980.34,21125.83,26148.42,18898.30,31755.10,22683.71,
7,7222.26,14146.37,29857.28,29346.15,0,8909.43,14357.14,0,7388.11,11386.78,11750.55,22169.81,24599.86,22510.67,0,18207.77,25154.63,0,28701.26,0,43654.16,32983.19,34493.60,32803.35,15725.10,20628.74,22203.64,3555.66,21737.40,32803.35,17723.71,5523.52,0,6571.28,13790.70,9109.60,12401.48,5245.92,33531.91,2755.62,22068.97,0,15114.60,0,5827.76,9941.57,6544.48,2841.01,40980.34,21094.23,26148.42,18898.30,31755.10,22683.71,
8,7212.61,14184.40,29857.28,29346.15,0,8897.80,14376.52,0,7447.42,11401.67,11735.15,22237.47,24599.86,22510.67,0,18233.72,25154.63,0,28701.26,0,43748.13,33043.64,33905.58,32863.30,15725.10,20628.74,22237.47,3561.65,21770.19,32863.30,17748.69,5515.68,0,6571.28,13790.70,9121.50,12417.85,5245.90,33531.91,2755.61,22035.56,0,15155.87,0,5827.76,9954.50,6544.48,2841.01,40811.53,21094.42,26148.42,18952.88,31755.10,22683.71,
9,7212.57,14203.50,29805.45,29396.79,0,8886.17,14395.90,0,7457.37,11401.67,11735.15,22203.64,24599.86,22510.67,0,18207.77,25154.63,0,28750.01,0,43748.13,33104.10,33968.66,32923.25,15746.68,20628.74,22237.47,3555.66,21704.81,32803.35,17773.80,5523.52,0,6553.40,13772.30,9015.39,12417.85,5245.92,33531.91,2750.32,22068.97,0,15176.41,0,5835.94,9967.49,6553.40,2846.38,40895.51,21125.83,26021.12,18952.88,31812.15,22683.71,
10,7212.57,14203.50,29857.28,29396.79,0,8921.10,14395.90,0,7487.18,11431.58,11735.15,22237.47,24599.86,22476.19,0,18207.77,25195.04,0,28701.26,0,43748.13,33164.55,33968.66,32863.30,15789.95,20598.27,22203.64,3567.66,21737.40,32744.88,17824.16,5547.11,0,6571.28,13846.15,9133.43,12450.65,5261.07,33531.91,2750.32,22068.97,0,15197.15,0,5835.94,9967.49,6553.40,2841.01,40643.57,21125.83,26710.63,18925.59,31755.10,22683.71,
