2018/09/04/00:48:15 | FG D
2018/09/04/00:48:15 | F6 V 4.10 0.00
2018/09/04/00:48:15 | F6 W 2629.63 2650.46 24677.96 1481.49 19509.67 27702.81
2018/09/04/00:48:15 | F6 T 26.44 85.00
2018/09/04/00:48:15 | F6 D 
2018/09/04/00:48:15 | F1 V 4.10 0.00
2018/09/04/00:48:15 | F1 W 4826.11 25521.12 30974.78 18816.90 24100.00 434783.03
2018/09/04/00:48:15 | F1 T 27.00 25.44
2018/09/04/00:48:15 | F1 D 
2018/09/04/00:48:16 | F3 V 4.10 0.00
2018/09/04/00:48:16 | F3 W 12174.88 8782.14 31305.67 14357.23 21476.92 33531.91
2018/09/04/00:48:16 | F3 T 26.88 28.06
2018/09/04/00:48:16 | F3 D 
2018/09/04/00:48:17 | F0 V 4.11 0.00
2018/09/04/00:48:17 | F0 W 6473.46 6937.12 4182.08 9436.37 313125.03 35066.08
2018/09/04/00:48:17 | F0 T 26.75 27.69
2018/09/04/00:48:17 | F0 D D5 7.79 0.09 27.4
2018/09/04/00:48:17 | F5 V 4.09 0.00
2018/09/04/00:48:17 | F5 W 2116.09 14951.22 22683.71 1881.54 24914.67 29651.17
2018/09/04/00:48:17 | F5 T 27.19 26.94
2018/09/04/00:48:17 | F5 D 
2018/09/04/00:48:20 | F4 V 4.08 0.00
2018/09/04/00:48:20 | F4 W 1425.92 342758.94 3400003.30 3658.21 23000.00 23986.71
2018/09/04/00:48:20 | F4 T 26.81 26.81
2018/09/04/00:48:20 | F4 D 
2018/09/04/00:58:14 | FG V 4.10 0.00
2018/09/04/00:58:14 | FG W 3975.43 36500.00 29045.80 1533.27 14710.14 23322.47
2018/09/04/00:58:15 | FG T 25.81 26.56
2018/09/04/00:58:15 | FG D
2018/09/04/00:58:15 | FB V 4.09 0.00
2018/09/04/00:58:15 | F6 V 4.10 0.00
2018/09/04/00:58:15 | F6 W 2608.88 2660.90 24677.96 1481.49 19538.07 27702.81
2018/09/04/00:58:15 | F6 T 26.38 85.00
2018/09/04/00:58:15 | F6 D 
2018/09/04/00:58:15 | F1 V 4.10 0.00
2018/09/04/00:58:15 | F1 W 4826.11 25562.09 31084.34 16548.48 24176.03 434783.03
2018/09/04/00:58:15 | F1 T 27.00 25.31
2018/09/04/00:58:15 | F1 D 
2018/09/04/00:58:15 | FB W 17328.63 36081.09 35199.02 20507.01 14630.85 32803.35
2018/09/04/00:58:15 | FB T -127.00 -127.00
2018/09/04/00:58:15 | FB D
2018/09/04/00:58:16 | F3 V 4.10 0.00
2018/09/04/00:58:16 | F3 W 12174.88 8805.15 31361.34 14395.90 21476.92 33531.91
2018/09/04/00:58:16 | F3 T 26.81 28.00
2018/09/04/00:58:16 | F3 D 
2018/09/04/00:58:17 | F0 V 4.11 0.00
2018/09/04/00:58:17 | F0 W 6491.14 6955.81 4201.77 9436.37 313125.03 35066.08
2018/09/04/00:58:17 | F0 T 26.69 27.69
2018/09/04/00:58:17 | F0 D D5 7.78 0.09 27.4
2018/09/04/00:58:17 | F5 V 4.09 0.00
2018/09/04/00:58:17 | F5 W 2096.98 14951.22 22649.01 1876.94 24994.39 29702.59
2018/09/04/00:58:17 | F5 T 27.13 26.94
2018/09/04/00:58:17 | F5 D 
2018/09/04/00:58:20 | F4 V 4.08 0.00
2018/09/04/00:58:20 | F4 W 1413.17 342758.94 4536671.00 3652.14 23000.00 23986.71
2018/09/04/00:58:20 | F4 T 26.75 26.81
2018/09/04/00:58:20 | F4 D 
2018/09/04/01:08:13 | FB V 4.09 0.00
2018/09/04/01:08:14 | FG V 4.10 0.00
2018/09/04/01:08:14 | FB W 17377.38 36081.09 35199.02 20476.72 14611.10 32803.35
2018/09/04/01:08:14 | FB T -127.00 -127.00
2018/09/04/01:08:14 | FB D
2018/09/04/01:08:14 | FG W 3975.43 36429.86 29045.80 1533.27 14730.09 23358.77
2018/09/04/01:08:15 | FG T 25.81 26.56
2018/09/04/01:08:15 | FG D
2018/09/04/01:08:15 | F6 V 4.10 0.00
2018/09/04/01:08:15 | F6 W 2593.36 2660.90 24677.96 1477.21 19538.07 27749.07
2018/09/04/01:08:15 | F6 T 26.38 85.00
2018/09/04/01:08:15 | F6 D 
2018/09/04/01:08:15 | F1 V 4.10 0.00
2018/09/04/01:08:15 | F1 W 4783.26 25114.51 30328.66 6724.80 23762.38 383460.84
2018/09/04/01:08:15 | F1 T 26.94 25.19
2018/09/04/01:08:15 | F1 D 
2018/09/04/01:08:16 | F3 V 4.10 0.00
2018/09/04/01:08:16 | F3 W 12206.97 8805.15 31361.34 14454.22 21476.92 33531.91
2018/09/04/01:08:16 | F3 T 26.81 27.94
2018/09/04/01:08:16 | F3 D 
2018/09/04/01:08:17 | F0 V 4.11 0.00
2018/09/04/01:08:17 | F0 W 6500.03 6955.81 4208.35 9461.02 316562.28 35066.08
2018/09/04/01:08:17 | F0 T 26.69 27.63
2018/09/04/01:08:17 | F0 D D5 7.78 0.09 27.4
2018/09/04/01:08:17 | F5 V 4.09 0.00
2018/09/04/01:08:17 | F5 W 2106.52 14890.51 22408.54 1863.17 24954.53 29754.02
2018/09/04/01:08:17 | F5 T 27.13 26.88
2018/09/04/01:08:17 | F5 D 
2018/09/04/01:08:20 | F4 V 4.08 0.00
2018/09/04/01:08:20 | F4 W 1396.22 342758.94 3400003.30 3640.00 23000.00 23986.71
2018/09/04/01:08:20 | F4 T 26.75 26.81
2018/09/04/01:08:20 | F4 D 
2018/09/04/01:18:13 | FG V 4.10 0.00
2018/09/04/01:18:14 | FG W 3981.80 36429.86 29045.80 1533.27 14710.14 23358.77
2018/09/04/01:18:15 | FG T 25.75 26.50
2018/09/04/01:18:15 | FG D
2018/09/04/01:18:15 | FB V 4.09 0.00
2018/09/04/01:18:15 | F6 V 4.10 0.00
